"Form type","Form description","Filing date","Reporting date"
"4","Statement of changes in beneficial ownership of securities","2019-03-18","2019-03-14"
"4","Statement of changes in beneficial ownership of securities","2019-03-11","2019-03-08"
"4","Statement of changes in beneficial ownership of securities","2019-03-01","2019-02-28"
"4","Statement of changes in beneficial ownership of securities","2019-03-01","2019-02-28"
"4","Statement of changes in beneficial ownership of securities","2019-03-01","2019-02-28"
"4","Statement of changes in beneficial ownership of securities","2019-03-01","2019-02-28"
"4","Statement of changes in beneficial ownership of securities","2019-03-01","2019-02-28"
"4","Statement of changes in beneficial ownership of securities","2019-03-01","2019-02-28"
"4","Statement of changes in beneficial ownership of securities","2019-03-01","2019-02-28"
"4","Statement of changes in beneficial ownership of securities","2019-03-01","2019-02-28"
"4","Statement of changes in beneficial ownership of securities","2019-02-19","2019-02-15"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2019-02-11",""
"4","Statement of changes in beneficial ownership of securities","2019-02-08","2019-02-06"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2019-02-06",""
"4","Statement of changes in beneficial ownership of securities","2019-02-01","2019-01-31"
"4","Statement of changes in beneficial ownership of securities","2019-02-01","2019-01-31"
"4","Statement of changes in beneficial ownership of securities","2019-02-01","2019-01-31"
"4","Statement of changes in beneficial ownership of securities","2019-02-01","2019-01-31"
"4","Statement of changes in beneficial ownership of securities","2019-02-01","2019-01-31"
"4","Statement of changes in beneficial ownership of securities","2019-02-01","2019-01-31"
"4","Statement of changes in beneficial ownership of securities","2019-02-01","2019-01-31"
"4","Statement of changes in beneficial ownership of securities","2019-02-01","2019-01-31"
"4","Statement of changes in beneficial ownership of securities","2019-02-01","2019-01-31"
"4","Statement of changes in beneficial ownership of securities","2019-02-01","2019-01-31"
"4","Statement of changes in beneficial ownership of securities","2019-02-01","2019-01-31"
"4","Statement of changes in beneficial ownership of securities","2019-02-01","2019-01-31"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2019-01-30","2018-12-31"
"8-K","Current report","2019-01-30","2019-01-30"
"4","Statement of changes in beneficial ownership of securities","2019-01-28","2019-01-28"
"4","Statement of changes in beneficial ownership of securities","2018-12-14","2018-12-13"
"4","Statement of changes in beneficial ownership of securities","2018-12-14","2018-12-13"
"4","Statement of changes in beneficial ownership of securities","2018-12-14","2018-12-13"
"4","Statement of changes in beneficial ownership of securities","2018-12-14","2018-12-13"
"4","Statement of changes in beneficial ownership of securities","2018-12-14","2018-12-13"
"4","Statement of changes in beneficial ownership of securities","2018-12-14","2018-12-13"
"4","Statement of changes in beneficial ownership of securities","2018-12-14","2018-12-13"
"4","Statement of changes in beneficial ownership of securities","2018-12-11","2018-12-10"
"4","Statement of changes in beneficial ownership of securities","2018-12-07","2018-12-06"
"4","Statement of changes in beneficial ownership of securities","2018-12-06","2018-12-04"
"4","Statement of changes in beneficial ownership of securities","2018-12-04","2018-12-03"
"4","Statement of changes in beneficial ownership of securities","2018-11-30","2018-11-30"
"4","Statement of changes in beneficial ownership of securities","2018-11-29","2018-11-27"
"4","Statement of changes in beneficial ownership of securities","2018-11-29","2018-11-27"
"4","Statement of changes in beneficial ownership of securities","2018-11-29","2018-11-27"
"4","Statement of changes in beneficial ownership of securities","2018-11-29","2018-11-27"
"4","Statement of changes in beneficial ownership of securities","2018-11-29","2018-11-27"
"4","Statement of changes in beneficial ownership of securities","2018-11-29","2018-11-27"
"4","Statement of changes in beneficial ownership of securities","2018-11-29","2018-11-27"
"4","Statement of changes in beneficial ownership of securities","2018-11-29","2018-11-27"
"4","Statement of changes in beneficial ownership of securities","2018-11-29","2018-11-27"
"4","Statement of changes in beneficial ownership of securities","2018-11-29","2018-11-27"
"4","Statement of changes in beneficial ownership of securities","2018-11-29","2018-11-27"
"4","Statement of changes in beneficial ownership of securities","2018-11-29","2018-11-27"
"8-K","Current report","2018-11-29","2018-11-28"
"4","Statement of changes in beneficial ownership of securities","2018-11-09","2018-11-08"
"D","Notice of Exempt Offering of Securities","2018-11-09",""
"S-3ASR","Automatic shelf registration statement of securities of well-known seasoned issuers","2018-11-07",""
"4","Statement of changes in beneficial ownership of securities","2018-11-06","2018-11-05"
"4","Statement of changes in beneficial ownership of securities","2018-11-01","2018-10-31"
"S-3ASR","Automatic shelf registration statement of securities of well-known seasoned issuers","2018-10-30",""
"4","Statement of changes in beneficial ownership of securities","2018-10-26","2018-10-26"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2018-10-24","2018-09-30"
"8-K","Current report","2018-10-24","2018-10-24"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2018-10-16",""
"DEF 14A","Other definitive proxy statements","2018-10-16","2018-11-28"
"4","Statement of changes in beneficial ownership of securities","2018-09-19","2018-09-17"
"4","Statement of changes in beneficial ownership of securities","2018-09-19","2018-09-18"
"4","Statement of changes in beneficial ownership of securities","2018-09-19","2018-09-17"
"4","Statement of changes in beneficial ownership of securities","2018-09-19","2018-09-17"
"4","Statement of changes in beneficial ownership of securities","2018-09-19","2018-09-17"
"4","Statement of changes in beneficial ownership of securities","2018-09-19","2018-09-17"
"4","Statement of changes in beneficial ownership of securities","2018-09-19","2018-09-17"
"4","Statement of changes in beneficial ownership of securities","2018-09-19","2018-09-17"
"8-K","Current report","2018-09-19","2018-09-17"
"4","Statement of changes in beneficial ownership of securities","2018-09-14","2018-09-13"
"4","Statement of changes in beneficial ownership of securities","2018-09-14","2018-09-13"
"4","Statement of changes in beneficial ownership of securities","2018-09-14","2018-09-13"
"4","Statement of changes in beneficial ownership of securities","2018-09-14","2018-09-13"
"4","Statement of changes in beneficial ownership of securities","2018-09-14","2018-09-13"
"4","Statement of changes in beneficial ownership of securities","2018-09-14","2018-09-13"
"4","Statement of changes in beneficial ownership of securities","2018-09-14","2018-09-13"
"4","Statement of changes in beneficial ownership of securities","2018-09-10","2018-09-07"
"4","Statement of changes in beneficial ownership of securities","2018-09-05","2018-08-31"
"4","Statement of changes in beneficial ownership of securities","2018-09-05","2018-08-31"
"4","Statement of changes in beneficial ownership of securities","2018-09-05","2018-08-31"
"4","Statement of changes in beneficial ownership of securities","2018-09-05","2018-08-31"
"4","Statement of changes in beneficial ownership of securities","2018-09-05","2018-08-31"
"4","Statement of changes in beneficial ownership of securities","2018-09-05","2018-08-31"
"4","Statement of changes in beneficial ownership of securities","2018-09-05","2018-08-31"
"4","Statement of changes in beneficial ownership of securities","2018-09-05","2018-08-31"
"4","Statement of changes in beneficial ownership of securities","2018-08-31","2018-08-30"
"4","Statement of changes in beneficial ownership of securities","2018-08-31","2018-08-30"
"4","Statement of changes in beneficial ownership of securities","2018-08-31","2018-08-30"
"4","Statement of changes in beneficial ownership of securities","2018-08-31","2018-08-30"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-30","2018-08-29"
"4","Statement of changes in beneficial ownership of securities","2018-08-16","2018-08-15"
"4","Statement of changes in beneficial ownership of securities","2018-08-16","2018-08-15"
"4","Statement of changes in beneficial ownership of securities","2018-08-10","2018-08-10"
"4","Statement of changes in beneficial ownership of securities","2018-08-10","2018-08-09"
"4","Statement of changes in beneficial ownership of securities","2018-08-08","2018-08-07"
"5","Annual statement of changes in beneficial ownership of securities","2018-08-07","2018-06-30"
"5","Annual statement of changes in beneficial ownership of securities","2018-08-07","2018-06-30"
"5","Annual statement of changes in beneficial ownership of securities","2018-08-07","2018-06-30"
"4","Statement of changes in beneficial ownership of securities","2018-08-06","2018-08-02"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2018-08-03","2018-06-30"
"4","Statement of changes in beneficial ownership of securities","2018-07-27","2018-07-26"
"8-K","Current report","2018-07-19","2018-07-19"
"4","Statement of changes in beneficial ownership of securities","2018-06-26","2018-06-25"
"4","Statement of changes in beneficial ownership of securities","2018-06-15","2018-06-14"
"4","Statement of changes in beneficial ownership of securities","2018-06-15","2018-06-14"
"4","Statement of changes in beneficial ownership of securities","2018-06-15","2018-06-14"
"4","Statement of changes in beneficial ownership of securities","2018-06-15","2018-06-14"
"4","Statement of changes in beneficial ownership of securities","2018-06-15","2018-06-14"
"4","Statement of changes in beneficial ownership of securities","2018-06-15","2018-06-14"
"4","Statement of changes in beneficial ownership of securities","2018-06-15","2018-06-14"
"11-K","Annual report of employee stock purchase, savings and similar plans","2018-06-14","2017-12-31"
"11-K","Annual report of employee stock purchase, savings and similar plans","2018-06-14","2017-12-31"
"4","Statement of changes in beneficial ownership of securities","2018-06-08","2018-06-07"
"4","Statement of changes in beneficial ownership of securities","2018-06-06","2018-06-05"
"8-K","Current report","2018-06-04","2018-06-04"
"4","Statement of changes in beneficial ownership of securities","2018-06-01","2018-05-31"
"4","Statement of changes in beneficial ownership of securities","2018-05-30","2018-05-29"
"4","Statement of changes in beneficial ownership of securities","2018-05-30","2018-05-29"
"4","Statement of changes in beneficial ownership of securities","2018-05-30","2018-05-29"
"4","Statement of changes in beneficial ownership of securities","2018-05-30","2018-05-29"
"4","Statement of changes in beneficial ownership of securities","2018-05-30","2018-05-29"
"4","Statement of changes in beneficial ownership of securities","2018-05-30","2018-05-29"
"4","Statement of changes in beneficial ownership of securities","2018-05-30","2018-05-29"
"4","Statement of changes in beneficial ownership of securities","2018-05-30","2018-05-29"
"4","Statement of changes in beneficial ownership of securities","2018-05-30","2018-05-29"
"4","Statement of changes in beneficial ownership of securities","2018-05-30","2018-05-29"
"4","Statement of changes in beneficial ownership of securities","2018-05-30","2018-05-29"
"4","Statement of changes in beneficial ownership of securities","2018-05-30","2018-05-29"
"SD","Form - SD","2018-05-30",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2018-04-26","2018-03-31"
"8-K","Current report","2018-04-26","2018-04-26"
"11-K","Annual report of employee stock purchase, savings and similar plans","2018-03-23","2017-12-31"
"4","Statement of changes in beneficial ownership of securities","2018-03-20","2018-03-19"
"4","Statement of changes in beneficial ownership of securities","2018-03-12","2018-03-08"
"4","Statement of changes in beneficial ownership of securities","2018-03-09","2018-03-08"
"4","Statement of changes in beneficial ownership of securities","2018-03-09","2018-03-08"
"4","Statement of changes in beneficial ownership of securities","2018-03-09","2018-03-08"
"4","Statement of changes in beneficial ownership of securities","2018-03-09","2018-03-08"
"4","Statement of changes in beneficial ownership of securities","2018-03-09","2018-03-08"
"4","Statement of changes in beneficial ownership of securities","2018-03-09","2018-03-08"
"4","Statement of changes in beneficial ownership of securities","2018-03-01","2018-02-28"
"4","Statement of changes in beneficial ownership of securities","2018-03-01","2018-02-28"
"4","Statement of changes in beneficial ownership of securities","2018-03-01","2018-02-28"
"4","Statement of changes in beneficial ownership of securities","2018-03-01","2018-02-28"
"4","Statement of changes in beneficial ownership of securities","2018-03-01","2018-02-28"
"4","Statement of changes in beneficial ownership of securities","2018-03-01","2018-02-28"
"4","Statement of changes in beneficial ownership of securities","2018-03-01","2018-02-28"
"4","Statement of changes in beneficial ownership of securities","2018-03-01","2018-02-28"
"4","Statement of changes in beneficial ownership of securities","2018-02-26","2018-02-23"
"4","Statement of changes in beneficial ownership of securities","2018-02-21","2018-02-20"
"4","Statement of changes in beneficial ownership of securities","2018-02-20","2018-02-16"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2018-02-09",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2018-02-08",""
"4","Statement of changes in beneficial ownership of securities","2018-02-01","2018-01-31"
"4","Statement of changes in beneficial ownership of securities","2018-02-01","2018-01-31"
"4","Statement of changes in beneficial ownership of securities","2018-02-01","2018-01-31"
"4","Statement of changes in beneficial ownership of securities","2018-02-01","2018-01-31"
"4","Statement of changes in beneficial ownership of securities","2018-02-01","2018-01-31"
"4","Statement of changes in beneficial ownership of securities","2018-02-01","2018-01-31"
"4","Statement of changes in beneficial ownership of securities","2018-02-01","2018-01-31"
"4","Statement of changes in beneficial ownership of securities","2018-02-01","2018-01-31"
"4","Statement of changes in beneficial ownership of securities","2018-02-01","2018-01-31"
"4","Statement of changes in beneficial ownership of securities","2018-02-01","2018-01-31"
"4","Statement of changes in beneficial ownership of securities","2018-02-01","2018-01-31"
"4","Statement of changes in beneficial ownership of securities","2018-02-01","2018-01-31"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2018-01-31",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2018-01-31","2017-12-31"
"8-K","Current report","2018-01-31","2018-01-31"
"4","Statement of changes in beneficial ownership of securities","2018-01-29","2018-01-26"
"UPLOAD","SEC-generated letter","2018-01-25",""
"CORRESP","Correspondence","2017-12-20",""
"4","Statement of changes in beneficial ownership of securities","2017-12-15","2017-12-14"
"4","Statement of changes in beneficial ownership of securities","2017-12-15","2017-12-14"
"4","Statement of changes in beneficial ownership of securities","2017-12-15","2017-12-14"
"4","Statement of changes in beneficial ownership of securities","2017-12-15","2017-12-14"
"4","Statement of changes in beneficial ownership of securities","2017-12-15","2017-12-14"
"4","Statement of changes in beneficial ownership of securities","2017-12-15","2017-12-14"
"UPLOAD","SEC-generated letter","2017-12-14",""
"4","Statement of changes in beneficial ownership of securities","2017-12-06","2017-12-04"
"4/A","Statement of changes in beneficial ownership of securities - amendment","2017-12-06","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-11-30","2017-11-28"
"4","Statement of changes in beneficial ownership of securities","2017-11-30","2017-11-30"
"3","Initial statement of beneficial ownership of securities","2017-11-30","2017-11-29"
"3","Initial statement of beneficial ownership of securities","2017-11-30","2017-11-29"
"4","Statement of changes in beneficial ownership of securities","2017-11-30","2017-11-28"
"4","Statement of changes in beneficial ownership of securities","2017-11-30","2017-11-28"
"4","Statement of changes in beneficial ownership of securities","2017-11-30","2017-11-28"
"4","Statement of changes in beneficial ownership of securities","2017-11-30","2017-11-28"
"4","Statement of changes in beneficial ownership of securities","2017-11-30","2017-11-28"
"4","Statement of changes in beneficial ownership of securities","2017-11-30","2017-11-28"
"4","Statement of changes in beneficial ownership of securities","2017-11-30","2017-11-28"
"4","Statement of changes in beneficial ownership of securities","2017-11-30","2017-11-28"
"4","Statement of changes in beneficial ownership of securities","2017-11-30","2017-11-28"
"4","Statement of changes in beneficial ownership of securities","2017-11-30","2017-11-28"
"4","Statement of changes in beneficial ownership of securities","2017-11-30","2017-11-27"
"S-8 POS","Securities to be offered to employees in employee benefit plans, post-effective amendments","2017-11-30",""
"S-8 POS","Securities to be offered to employees in employee benefit plans, post-effective amendments","2017-11-30",""
"S-8","Securities to be offered to employees in employee benefit plans","2017-11-30",""
"8-K","Current report","2017-11-30","2017-11-29"
"4","Statement of changes in beneficial ownership of securities","2017-11-21","2017-11-20"
"4","Statement of changes in beneficial ownership of securities","2017-11-21","2017-11-20"
"4","Statement of changes in beneficial ownership of securities","2017-11-21","2017-11-17"
"4","Statement of changes in beneficial ownership of securities","2017-11-15","2017-11-14"
"4","Statement of changes in beneficial ownership of securities","2017-11-13","2017-11-10"
"4","Statement of changes in beneficial ownership of securities","2017-11-03","2017-11-02"
"4","Statement of changes in beneficial ownership of securities","2017-11-03","2017-11-02"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2017-10-26","2017-09-30"
"8-K","Current report","2017-10-26","2017-10-26"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2017-10-16",""
"DEF 14A","Other definitive proxy statements","2017-10-16","2017-11-29"
"3","Initial statement of beneficial ownership of securities","2017-09-25","2017-09-19"
"4","Statement of changes in beneficial ownership of securities","2017-09-20","2017-09-19"
"4","Statement of changes in beneficial ownership of securities","2017-09-20","2017-09-18"
"4","Statement of changes in beneficial ownership of securities","2017-09-20","2017-09-18"
"4","Statement of changes in beneficial ownership of securities","2017-09-20","2017-09-18"
"4","Statement of changes in beneficial ownership of securities","2017-09-20","2017-09-18"
"4","Statement of changes in beneficial ownership of securities","2017-09-20","2017-09-18"
"4","Statement of changes in beneficial ownership of securities","2017-09-20","2017-09-18"
"4","Statement of changes in beneficial ownership of securities","2017-09-20","2017-09-18"
"8-K","Current report","2017-09-19","2017-09-19"
"4","Statement of changes in beneficial ownership of securities","2017-09-18","2017-09-14"
"4","Statement of changes in beneficial ownership of securities","2017-09-18","2017-09-14"
"4","Statement of changes in beneficial ownership of securities","2017-09-18","2017-09-14"
"4","Statement of changes in beneficial ownership of securities","2017-09-18","2017-09-14"
"4","Statement of changes in beneficial ownership of securities","2017-09-18","2017-09-14"
"4","Statement of changes in beneficial ownership of securities","2017-09-18","2017-09-14"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-31"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-31"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-31"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-31"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-31","2017-08-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-30","2017-08-29"
"4","Statement of changes in beneficial ownership of securities","2017-08-30","2017-08-29"
"4","Statement of changes in beneficial ownership of securities","2017-08-30","2017-08-29"
"4","Statement of changes in beneficial ownership of securities","2017-08-30","2017-08-29"
"4","Statement of changes in beneficial ownership of securities","2017-08-30","2017-08-29"
"4","Statement of changes in beneficial ownership of securities","2017-08-30","2017-08-29"
"4","Statement of changes in beneficial ownership of securities","2017-08-30","2017-08-29"
"4","Statement of changes in beneficial ownership of securities","2017-08-16","2017-08-15"
"4","Statement of changes in beneficial ownership of securities","2017-08-16","2017-08-15"
"5","Annual statement of changes in beneficial ownership of securities","2017-08-14","2017-06-30"
"4","Statement of changes in beneficial ownership of securities","2017-08-08","2017-08-04"
"5","Annual statement of changes in beneficial ownership of securities","2017-08-07","2017-06-30"
"5","Annual statement of changes in beneficial ownership of securities","2017-08-07","2017-06-30"
"5","Annual statement of changes in beneficial ownership of securities","2017-08-07","2017-06-30"
"8-K","Current report","2017-08-03","2017-08-03"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2017-08-02","2017-06-30"
"4","Statement of changes in beneficial ownership of securities","2017-07-26","2017-07-25"
"8-K","Current report","2017-07-20","2017-07-20"
"11-K","Annual report of employee stock purchase, savings and similar plans","2017-06-28","2016-12-31"
"4","Statement of changes in beneficial ownership of securities","2017-06-27","2017-06-26"
"11-K","Annual report of employee stock purchase, savings and similar plans","2017-06-22","2016-12-31"
"4","Statement of changes in beneficial ownership of securities","2017-06-20","2017-06-19"
"8-K","Current report","2017-06-14","2017-06-13"
"4","Statement of changes in beneficial ownership of securities","2017-06-13","2017-06-12"
"4","Statement of changes in beneficial ownership of securities","2017-06-09","2017-06-08"
"4","Statement of changes in beneficial ownership of securities","2017-06-09","2017-06-08"
"4","Statement of changes in beneficial ownership of securities","2017-06-09","2017-06-08"
"4","Statement of changes in beneficial ownership of securities","2017-06-09","2017-06-08"
"4","Statement of changes in beneficial ownership of securities","2017-06-09","2017-06-08"
"4","Statement of changes in beneficial ownership of securities","2017-06-09","2017-06-08"
"4","Statement of changes in beneficial ownership of securities","2017-05-31","2017-05-30"
"4","Statement of changes in beneficial ownership of securities","2017-05-31","2017-05-30"
"4","Statement of changes in beneficial ownership of securities","2017-05-31","2017-05-30"
"4","Statement of changes in beneficial ownership of securities","2017-05-31","2017-05-30"
"4","Statement of changes in beneficial ownership of securities","2017-05-31","2017-05-30"
"4","Statement of changes in beneficial ownership of securities","2017-05-31","2017-05-30"
"4","Statement of changes in beneficial ownership of securities","2017-05-31","2017-05-30"
"4","Statement of changes in beneficial ownership of securities","2017-05-31","2017-05-30"
"4","Statement of changes in beneficial ownership of securities","2017-05-31","2017-05-30"
"4","Statement of changes in beneficial ownership of securities","2017-05-31","2017-05-30"
"SD","Form - SD","2017-05-31",""
"4","Statement of changes in beneficial ownership of securities","2017-05-25","2017-05-25"
"4","Statement of changes in beneficial ownership of securities","2017-05-25","2017-05-24"
"4","Statement of changes in beneficial ownership of securities","2017-05-17","2017-05-16"
"4","Statement of changes in beneficial ownership of securities","2017-05-16","2017-05-15"
"4","Statement of changes in beneficial ownership of securities","2017-05-05","2017-05-03"
"4","Statement of changes in beneficial ownership of securities","2017-05-05","2017-05-03"
"4","Statement of changes in beneficial ownership of securities","2017-05-04","2017-05-03"
"4","Statement of changes in beneficial ownership of securities","2017-05-04","2017-05-02"
"4","Statement of changes in beneficial ownership of securities","2017-05-03","2017-05-01"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2017-04-27","2017-03-31"
"8-K","Current report","2017-04-27","2017-04-27"
"11-K","Annual report of employee stock purchase, savings and similar plans","2017-03-23","2016-12-31"
"4","Statement of changes in beneficial ownership of securities","2017-03-21","2017-03-20"
"3","Initial statement of beneficial ownership of securities","2017-03-14","2017-03-14"
"8-K","Current report","2017-03-14","2017-03-14"
"4","Statement of changes in beneficial ownership of securities","2017-03-10","2017-03-09"
"4","Statement of changes in beneficial ownership of securities","2017-03-10","2017-03-09"
"4","Statement of changes in beneficial ownership of securities","2017-03-10","2017-03-09"
"4","Statement of changes in beneficial ownership of securities","2017-03-10","2017-03-09"
"4","Statement of changes in beneficial ownership of securities","2017-03-10","2017-03-09"
"4","Statement of changes in beneficial ownership of securities","2017-03-01","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-03-01","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-03-01","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-03-01","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-03-01","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-03-01","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-03-01","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-03-01","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-02-23","2017-02-21"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2017-02-10",""
"4","Statement of changes in beneficial ownership of securities","2017-02-03","2017-02-01"
"4","Statement of changes in beneficial ownership of securities","2017-02-03","2017-02-01"
"8-K","Current report","2017-02-03","2017-01-30"
"4","Statement of changes in beneficial ownership of securities","2017-02-02","2017-01-31"
"4","Statement of changes in beneficial ownership of securities","2017-02-01","2017-01-31"
"4","Statement of changes in beneficial ownership of securities","2017-02-01","2017-01-31"
"4","Statement of changes in beneficial ownership of securities","2017-02-01","2017-01-31"
"4","Statement of changes in beneficial ownership of securities","2017-02-01","2017-01-31"
"4","Statement of changes in beneficial ownership of securities","2017-02-01","2017-01-31"
"4","Statement of changes in beneficial ownership of securities","2017-02-01","2017-01-31"
"4","Statement of changes in beneficial ownership of securities","2017-02-01","2017-01-31"
"4","Statement of changes in beneficial ownership of securities","2017-02-01","2017-01-31"
"4","Statement of changes in beneficial ownership of securities","2017-02-01","2017-01-30"
"4","Statement of changes in beneficial ownership of securities","2017-02-01","2017-01-31"
"4","Statement of changes in beneficial ownership of securities","2017-01-31","2017-01-30"
"424B2","Prospectus [Rule 424(b)(2)]","2017-01-31",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2017-01-31",""
"424B2","Prospectus [Rule 424(b)(2)]","2017-01-30",""
"4","Statement of changes in beneficial ownership of securities","2017-01-27","2017-01-26"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2017-01-26","2016-12-31"
"8-K","Current report","2017-01-26","2017-01-26"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2017-01-25",""
"4","Statement of changes in beneficial ownership of securities","2016-12-21","2016-12-21"
"4","Statement of changes in beneficial ownership of securities","2016-12-20","2016-12-15"
"4","Statement of changes in beneficial ownership of securities","2016-12-20","2016-12-14"
"4","Statement of changes in beneficial ownership of securities","2016-12-09","2016-12-08"
"4","Statement of changes in beneficial ownership of securities","2016-12-09","2016-12-08"
"4","Statement of changes in beneficial ownership of securities","2016-12-09","2016-12-08"
"4","Statement of changes in beneficial ownership of securities","2016-12-09","2016-12-08"
"4","Statement of changes in beneficial ownership of securities","2016-12-09","2016-12-08"
"8-K","Current report","2016-12-08","2016-12-08"
"4","Statement of changes in beneficial ownership of securities","2016-12-01","2016-11-29"
"4","Statement of changes in beneficial ownership of securities","2016-12-01","2016-11-29"
"4","Statement of changes in beneficial ownership of securities","2016-12-01","2016-11-29"
"4","Statement of changes in beneficial ownership of securities","2016-12-01","2016-11-29"
"4","Statement of changes in beneficial ownership of securities","2016-12-01","2016-11-29"
"4","Statement of changes in beneficial ownership of securities","2016-12-01","2016-11-29"
"4","Statement of changes in beneficial ownership of securities","2016-12-01","2016-11-29"
"4","Statement of changes in beneficial ownership of securities","2016-12-01","2016-11-29"
"4","Statement of changes in beneficial ownership of securities","2016-12-01","2016-11-29"
"8-K","Current report","2016-12-01","2016-11-30"
"4","Statement of changes in beneficial ownership of securities","2016-11-14","2016-11-11"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2016-11-10",""
"4","Statement of changes in beneficial ownership of securities","2016-11-09","2016-11-08"
"4","Statement of changes in beneficial ownership of securities","2016-11-03","2016-11-02"
"4","Statement of changes in beneficial ownership of securities","2016-10-31","2016-10-27"
"4","Statement of changes in beneficial ownership of securities","2016-10-28","2016-10-27"
"4","Statement of changes in beneficial ownership of securities","2016-10-28","2016-10-26"
"4","Statement of changes in beneficial ownership of securities","2016-10-27","2016-10-25"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2016-10-20","2016-09-30"
"8-K","Current report","2016-10-20","2016-10-20"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2016-10-18",""
