"Form type","Form description","Filing date","Reporting date"
"4","Statement of changes in beneficial ownership of securities","2018-08-17","2018-08-15"
"4","Statement of changes in beneficial ownership of securities","2018-08-17","2018-08-15"
"4","Statement of changes in beneficial ownership of securities","2018-08-17","2018-08-15"
"4","Statement of changes in beneficial ownership of securities","2018-08-17","2018-08-15"
"4","Statement of changes in beneficial ownership of securities","2018-08-16","2018-08-14"
"UPLOAD","SEC-generated letter","2018-08-14",""
"4","Statement of changes in beneficial ownership of securities","2018-08-08","2018-08-06"
"4","Statement of changes in beneficial ownership of securities","2018-08-06","2018-08-02"
"4","Statement of changes in beneficial ownership of securities","2018-08-06","2018-08-02"
"4","Statement of changes in beneficial ownership of securities","2018-08-03","2018-08-01"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2018-07-27",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2018-07-27","2018-06-30"
"8-K","Current report","2018-07-26","2018-07-26"
"8-K","Current report","2018-06-01","2018-05-30"
"SD","Form - SD","2018-05-31",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2018-05-29",""
"4","Statement of changes in beneficial ownership of securities","2018-05-23","2018-05-21"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2018-05-23",""
"4","Statement of changes in beneficial ownership of securities","2018-05-22","2018-05-18"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2018-05-18",""
"4","Statement of changes in beneficial ownership of securities","2018-05-17","2018-05-15"
"4","Statement of changes in beneficial ownership of securities","2018-05-17","2018-05-15"
"4","Statement of changes in beneficial ownership of securities","2018-05-17","2018-05-15"
"4","Statement of changes in beneficial ownership of securities","2018-05-17","2018-05-15"
"4","Statement of changes in beneficial ownership of securities","2018-05-17","2018-05-15"
"4","Statement of changes in beneficial ownership of securities","2018-05-17","2018-05-15"
"4","Statement of changes in beneficial ownership of securities","2018-05-17","2018-05-15"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2018-05-14",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2018-05-14",""
"PX14A6G","Notice of exempt solicitation submitted by non-management","2018-05-09",""
"4","Statement of changes in beneficial ownership of securities","2018-05-08","2018-05-04"
"EFFECT","Notice of Effectiveness","2018-05-07",""
"424B3","Prospectus [Rule 424(b)(3)]","2018-05-07",""
"4","Statement of changes in beneficial ownership of securities","2018-05-04","2018-05-02"
"CORRESP","Correspondence","2018-05-04",""
"UPLOAD","SEC-generated letter","2018-05-04",""
"4","Statement of changes in beneficial ownership of securities","2018-05-03","2018-05-02"
"4","Statement of changes in beneficial ownership of securities","2018-05-03","2018-05-01"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2018-05-01",""
"8-K","Current report","2018-04-27","2018-04-27"
"CORRESP","Correspondence","2018-04-27",""
"S-4","Registration of securities, business combinations","2018-04-27",""
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2018-04-27",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2018-04-27","2018-03-31"
"8-K","Current report","2018-04-26","2018-04-26"
"8-K","Current report","2018-04-18","2018-04-18"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2018-04-18",""
"DEF 14A","Other definitive proxy statements","2018-04-18","2018-05-30"
"4","Statement of changes in beneficial ownership of securities","2018-04-03","2018-04-02"
"4","Statement of changes in beneficial ownership of securities","2018-04-03","2018-04-02"
"4","Statement of changes in beneficial ownership of securities","2018-04-03","2018-04-02"
"4","Statement of changes in beneficial ownership of securities","2018-04-03","2018-04-02"
"4","Statement of changes in beneficial ownership of securities","2018-04-03","2018-04-02"
"4","Statement of changes in beneficial ownership of securities","2018-04-03","2018-04-02"
"4","Statement of changes in beneficial ownership of securities","2018-03-22","2018-03-20"
"4","Statement of changes in beneficial ownership of securities","2018-03-09","2018-03-08"
"4","Statement of changes in beneficial ownership of securities","2018-03-09","2018-03-07"
"UPLOAD","SEC-generated letter","2018-03-09",""
"4","Statement of changes in beneficial ownership of securities","2018-03-08","2018-03-07"
"4","Statement of changes in beneficial ownership of securities","2018-03-01","2018-02-28"
"4","Statement of changes in beneficial ownership of securities","2018-03-01","2018-02-27"
"4","Statement of changes in beneficial ownership of securities","2018-03-01","2018-02-27"
"4","Statement of changes in beneficial ownership of securities","2018-02-26","2018-02-23"
"4","Statement of changes in beneficial ownership of securities","2018-02-26","2018-02-22"
"4","Statement of changes in beneficial ownership of securities","2018-02-22","2018-02-21"
"4","Statement of changes in beneficial ownership of securities","2018-02-21","2018-02-20"
"4","Statement of changes in beneficial ownership of securities","2018-02-20","2018-02-16"
"4","Statement of changes in beneficial ownership of securities","2018-02-20","2018-02-15"
"4","Statement of changes in beneficial ownership of securities","2018-02-20","2018-02-15"
"4","Statement of changes in beneficial ownership of securities","2018-02-20","2018-02-15"
"4","Statement of changes in beneficial ownership of securities","2018-02-20","2018-02-15"
"4","Statement of changes in beneficial ownership of securities","2018-02-20","2018-02-15"
"4","Statement of changes in beneficial ownership of securities","2018-02-20","2018-02-15"
"4","Statement of changes in beneficial ownership of securities","2018-02-20","2018-02-15"
"4","Statement of changes in beneficial ownership of securities","2018-02-20","2018-02-15"
"4","Statement of changes in beneficial ownership of securities","2018-02-20","2018-02-15"
"4","Statement of changes in beneficial ownership of securities","2018-02-20","2018-02-15"
"CORRESP","Correspondence","2018-02-16",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2018-02-12",""
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2018-02-02",""
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2018-02-02","2017-12-31"
"CORRESP","Correspondence","2018-02-01",""
"8-K","Current report","2018-02-01","2018-02-01"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2018-02-01",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2018-01-26",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2018-01-26",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2018-01-23",""
"UPLOAD","SEC-generated letter","2018-01-23",""
"S-8 POS","Securities to be offered to employees in employee benefit plans, post-effective amendments","2018-01-19",""
"S-8 POS","Securities to be offered to employees in employee benefit plans, post-effective amendments","2018-01-19",""
"S-8 POS","Securities to be offered to employees in employee benefit plans, post-effective amendments","2018-01-19",""
"S-8 POS","Securities to be offered to employees in employee benefit plans, post-effective amendments","2018-01-19",""
"S-8 POS","Securities to be offered to employees in employee benefit plans, post-effective amendments","2018-01-19",""
"S-8 POS","Securities to be offered to employees in employee benefit plans, post-effective amendments","2018-01-19",""
"S-8 POS","Securities to be offered to employees in employee benefit plans, post-effective amendments","2018-01-19",""
"S-8 POS","Securities to be offered to employees in employee benefit plans, post-effective amendments","2018-01-19",""
"CORRESP","Correspondence","2017-12-21",""
"8-K","Current report","2017-12-20","2017-12-20"
"EFFECT","Notice of Effectiveness","2017-12-13",""
"424B3","Prospectus [Rule 424(b)(3)]","2017-12-13",""
"CORRESP","Correspondence","2017-12-12",""
"4","Statement of changes in beneficial ownership of securities","2017-12-11","2017-12-07"
"CORRESP","Correspondence","2017-12-07",""
"UPLOAD","SEC-generated letter","2017-11-30",""
"UPLOAD","SEC-generated letter","2017-11-28",""
"4","Statement of changes in beneficial ownership of securities","2017-11-27","2017-11-27"
"4","Statement of changes in beneficial ownership of securities","2017-11-24","2017-11-22"
"S-4","Registration of securities, business combinations","2017-11-20",""
"4","Statement of changes in beneficial ownership of securities","2017-11-17","2017-11-15"
"4","Statement of changes in beneficial ownership of securities","2017-11-17","2017-11-15"
"4","Statement of changes in beneficial ownership of securities","2017-11-17","2017-11-15"
"4","Statement of changes in beneficial ownership of securities","2017-11-17","2017-11-15"
"4","Statement of changes in beneficial ownership of securities","2017-11-17","2017-11-15"
"4","Statement of changes in beneficial ownership of securities","2017-11-17","2017-11-15"
"4","Statement of changes in beneficial ownership of securities","2017-11-17","2017-11-15"
"4","Statement of changes in beneficial ownership of securities","2017-11-17","2017-11-15"
"4","Statement of changes in beneficial ownership of securities","2017-11-17","2017-11-15"
"4","Statement of changes in beneficial ownership of securities","2017-11-17","2017-11-15"
"4","Statement of changes in beneficial ownership of securities","2017-11-17","2017-11-15"
"4","Statement of changes in beneficial ownership of securities","2017-11-16","2017-11-14"
"8-K/A","Current report - amendment","2017-11-13","2017-08-28"
"4","Statement of changes in beneficial ownership of securities","2017-11-08","2017-11-06"
"4","Statement of changes in beneficial ownership of securities","2017-11-03","2017-11-01"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2017-10-27",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2017-10-27","2017-09-30"
"CORRESP","Correspondence","2017-10-26",""
"8-K","Current report","2017-10-26","2017-10-26"
"CORRESP","Correspondence","2017-10-10",""
"UPLOAD","SEC-generated letter","2017-09-27",""
"8-K/A","Current report - amendment","2017-09-08","2017-05-23"
"4","Statement of changes in beneficial ownership of securities","2017-09-07","2017-09-07"
"8-K","Current report","2017-08-28","2017-08-28"
"8-K","Current report","2017-08-24","2017-08-24"
"4","Statement of changes in beneficial ownership of securities","2017-08-23","2017-08-21"
"8-K","Current report","2017-08-22","2017-08-22"
"4","Statement of changes in beneficial ownership of securities","2017-08-21","2017-08-18"
"4","Statement of changes in beneficial ownership of securities","2017-08-17","2017-08-15"
"4","Statement of changes in beneficial ownership of securities","2017-08-17","2017-08-15"
"4","Statement of changes in beneficial ownership of securities","2017-08-17","2017-08-15"
"4","Statement of changes in beneficial ownership of securities","2017-08-17","2017-08-15"
"4","Statement of changes in beneficial ownership of securities","2017-08-17","2017-08-15"
"4","Statement of changes in beneficial ownership of securities","2017-08-17","2017-08-15"
"4","Statement of changes in beneficial ownership of securities","2017-08-17","2017-08-15"
"8-K","Current report","2017-08-16","2017-08-15"
"8-K","Current report","2017-08-15","2017-08-15"
"4","Statement of changes in beneficial ownership of securities","2017-08-07","2017-08-03"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2017-07-28",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2017-07-28","2017-06-30"
"8-K","Current report","2017-07-27","2017-07-27"
"4","Statement of changes in beneficial ownership of securities","2017-06-29","2017-06-27"
"8-K","Current report","2017-06-16","2017-06-15"
"4","Statement of changes in beneficial ownership of securities","2017-06-07","2017-06-05"
"4","Statement of changes in beneficial ownership of securities","2017-05-31","2017-05-30"
"SD","Form - SD","2017-05-31",""
"CT ORDER","Confidential treatment order","2017-05-26",""
"8-K","Current report","2017-05-25","2017-05-23"
"4","Statement of changes in beneficial ownership of securities","2017-05-24","2017-05-22"
"4","Statement of changes in beneficial ownership of securities","2017-05-17","2017-05-15"
"4","Statement of changes in beneficial ownership of securities","2017-05-17","2017-05-15"
"4","Statement of changes in beneficial ownership of securities","2017-05-17","2017-05-15"
"4","Statement of changes in beneficial ownership of securities","2017-05-17","2017-05-15"
"4","Statement of changes in beneficial ownership of securities","2017-05-17","2017-05-15"
"4","Statement of changes in beneficial ownership of securities","2017-05-17","2017-05-15"
"4","Statement of changes in beneficial ownership of securities","2017-05-17","2017-05-15"
"4","Statement of changes in beneficial ownership of securities","2017-05-12","2017-05-10"
"4","Statement of changes in beneficial ownership of securities","2017-05-10","2017-05-09"
"4","Statement of changes in beneficial ownership of securities","2017-05-05","2017-05-05"
"4","Statement of changes in beneficial ownership of securities","2017-05-04","2017-05-02"
"4","Statement of changes in beneficial ownership of securities","2017-05-04","2017-05-02"
"4","Statement of changes in beneficial ownership of securities","2017-05-04","2017-05-02"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2017-04-28",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2017-04-28","2017-03-31"
"8-K","Current report","2017-04-27","2017-04-27"
"8-K","Current report","2017-04-12","2017-04-12"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2017-04-12",""
"DEF 14A","Other definitive proxy statements","2017-04-12","2017-05-23"
"8-K","Current report","2017-03-17","2017-03-14"
"NO ACT","No Action Letter","2017-03-14","2017-01-23"
"4","Statement of changes in beneficial ownership of securities","2017-03-03","2017-03-01"
"4","Statement of changes in beneficial ownership of securities","2017-02-22","2017-02-21"
"4","Statement of changes in beneficial ownership of securities","2017-02-22","2017-02-21"
"NO ACT","No Action Letter","2017-02-17","2017-02-17"
"4","Statement of changes in beneficial ownership of securities","2017-02-17","2017-02-15"
"4","Statement of changes in beneficial ownership of securities","2017-02-17","2017-02-15"
"4","Statement of changes in beneficial ownership of securities","2017-02-17","2017-02-15"
"4","Statement of changes in beneficial ownership of securities","2017-02-17","2017-02-15"
"4","Statement of changes in beneficial ownership of securities","2017-02-17","2017-02-15"
"4","Statement of changes in beneficial ownership of securities","2017-02-17","2017-02-15"
"4","Statement of changes in beneficial ownership of securities","2017-02-17","2017-02-15"
"4","Statement of changes in beneficial ownership of securities","2017-02-17","2017-02-15"
"4","Statement of changes in beneficial ownership of securities","2017-02-17","2017-02-15"
"4","Statement of changes in beneficial ownership of securities","2017-02-17","2017-02-15"
"UPLOAD","SEC-generated letter","2017-02-13",""
"4","Statement of changes in beneficial ownership of securities","2017-02-10","2017-02-09"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2017-02-10",""
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2017-02-10","2016-12-31"
"CORRESP","Correspondence","2017-02-09",""
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2017-02-09",""
"8-K","Current report","2017-02-02","2017-02-02"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2017-01-27",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2017-01-27",""
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2017-01-20",""
"4","Statement of changes in beneficial ownership of securities","2016-12-30","2016-12-28"
"4","Statement of changes in beneficial ownership of securities","2016-12-13","2016-12-09"
"4","Statement of changes in beneficial ownership of securities","2016-11-30","2016-11-28"
"4","Statement of changes in beneficial ownership of securities","2016-11-30","2016-11-28"
"4","Statement of changes in beneficial ownership of securities","2016-11-17","2016-11-15"
"4","Statement of changes in beneficial ownership of securities","2016-11-17","2016-11-15"
"4","Statement of changes in beneficial ownership of securities","2016-11-17","2016-11-15"
"4","Statement of changes in beneficial ownership of securities","2016-11-17","2016-11-15"
"4","Statement of changes in beneficial ownership of securities","2016-11-17","2016-11-15"
"4","Statement of changes in beneficial ownership of securities","2016-11-17","2016-11-15"
"4","Statement of changes in beneficial ownership of securities","2016-11-17","2016-11-15"
"4","Statement of changes in beneficial ownership of securities","2016-11-17","2016-11-15"
"4","Statement of changes in beneficial ownership of securities","2016-11-17","2016-11-15"
"4","Statement of changes in beneficial ownership of securities","2016-11-17","2016-11-15"
"4","Statement of changes in beneficial ownership of securities","2016-11-03","2016-11-01"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2016-10-28",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2016-10-28","2016-09-30"
"8-K","Current report","2016-10-27","2016-10-27"
"4","Statement of changes in beneficial ownership of securities","2016-09-23","2016-09-22"
"4","Statement of changes in beneficial ownership of securities","2016-09-08","2016-09-07"
"3","Initial statement of beneficial ownership of securities","2016-09-08","2016-09-07"
"8-K","Current report","2016-09-08","2016-09-07"
"4","Statement of changes in beneficial ownership of securities","2016-08-17","2016-08-15"
"4","Statement of changes in beneficial ownership of securities","2016-08-17","2016-08-15"
"4","Statement of changes in beneficial ownership of securities","2016-08-17","2016-08-15"
"4","Statement of changes in beneficial ownership of securities","2016-08-17","2016-08-15"
"4","Statement of changes in beneficial ownership of securities","2016-08-17","2016-08-15"
"4","Statement of changes in beneficial ownership of securities","2016-08-17","2016-08-15"
"4","Statement of changes in beneficial ownership of securities","2016-08-17","2016-08-15"
"4","Statement of changes in beneficial ownership of securities","2016-08-17","2016-08-15"
"4","Statement of changes in beneficial ownership of securities","2016-08-04","2016-08-02"
"4","Statement of changes in beneficial ownership of securities","2016-08-04","2016-08-02"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2016-07-29",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2016-07-29","2016-06-30"
"CORRESP","Correspondence","2016-07-28",""
"8-K","Current report","2016-07-28","2016-07-28"
"CORRESP","Correspondence","2016-07-07",""
"UPLOAD","SEC-generated letter","2016-06-29",""
"4","Statement of changes in beneficial ownership of securities","2016-06-08","2016-06-06"
"SD","Form - SD","2016-05-31",""
"4","Statement of changes in beneficial ownership of securities","2016-05-25","2016-05-24"
"8-K","Current report","2016-05-20","2016-05-17"
"4","Statement of changes in beneficial ownership of securities","2016-05-17","2016-05-15"
"4","Statement of changes in beneficial ownership of securities","2016-05-17","2016-05-15"
"4","Statement of changes in beneficial ownership of securities","2016-05-17","2016-05-15"
"4","Statement of changes in beneficial ownership of securities","2016-05-17","2016-05-15"
"4","Statement of changes in beneficial ownership of securities","2016-05-17","2016-05-15"
"4","Statement of changes in beneficial ownership of securities","2016-05-17","2016-05-16"
"4","Statement of changes in beneficial ownership of securities","2016-05-17","2016-05-15"
"4","Statement of changes in beneficial ownership of securities","2016-05-17","2016-05-15"
"4","Statement of changes in beneficial ownership of securities","2016-05-17","2016-05-15"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2016-05-16",""
"4","Statement of changes in beneficial ownership of securities","2016-05-11","2016-05-10"
"4","Statement of changes in beneficial ownership of securities","2016-05-05","2016-05-03"
"4","Statement of changes in beneficial ownership of securities","2016-05-05","2016-05-03"
"IRANNOTICE","Notice of disclosure filed pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 (Exchange Act Section 13(r)).","2016-04-29",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2016-04-29","2016-03-31"
"8-K","Current report","2016-04-28","2016-04-28"
"4","Statement of changes in beneficial ownership of securities","2016-04-07","2016-04-05"
"4","Statement of changes in beneficial ownership of securities","2016-04-07","2016-04-05"
"4","Statement of changes in beneficial ownership of securities","2016-04-07","2016-04-05"
"4","Statement of changes in beneficial ownership of securities","2016-04-07","2016-04-05"
"4","Statement of changes in beneficial ownership of securities","2016-04-07","2016-04-05"
"4","Statement of changes in beneficial ownership of securities","2016-04-07","2016-04-05"
"8-K","Current report","2016-04-05","2016-04-05"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2016-04-05",""
"DEF 14A","Other definitive proxy statements","2016-04-05","2016-05-17"
"SC 13G","Statement of acquisition of beneficial ownership by individuals","2016-03-18",""
"NO ACT","No Action Letter","2016-03-17","2016-01-17"
"NO ACT","No Action Letter","2016-03-15","2016-01-17"
"NO ACT","No Action Letter","2016-03-11","2016-01-17"
"NO ACT","No Action Letter","2016-03-03","2016-02-25"
"4","Statement of changes in beneficial ownership of securities","2016-03-03","2016-03-03"
"8-K","Current report","2016-02-25","2016-02-25"
"4","Statement of changes in beneficial ownership of securities","2016-02-24","2016-02-22"
"4","Statement of changes in beneficial ownership of securities","2016-02-17","2016-02-15"
"4","Statement of changes in beneficial ownership of securities","2016-02-17","2016-02-15"
"4","Statement of changes in beneficial ownership of securities","2016-02-17","2016-02-15"
"4","Statement of changes in beneficial ownership of securities","2016-02-17","2016-02-15"
"4","Statement of changes in beneficial ownership of securities","2016-02-17","2016-02-16"
"4","Statement of changes in beneficial ownership of securities","2016-02-17","2016-02-15"
"4","Statement of changes in beneficial ownership of securities","2016-02-17","2016-02-15"
"4","Statement of changes in beneficial ownership of securities","2016-02-17","2016-02-15"
"4","Statement of changes in beneficial ownership of securities","2016-02-17","2016-02-15"
"4","Statement of changes in beneficial ownership of securities","2016-02-17","2016-02-15"
"4","Statement of changes in beneficial ownership of securities","2016-02-17","2016-02-16"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2016-02-12",""
"4","Statement of changes in beneficial ownership of securities","2016-02-10","2016-02-10"
"3","Initial statement of beneficial ownership of securities","2016-02-10","2016-02-10"
"8-K","Current report","2016-02-10","2016-02-10"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2016-01-29","2015-12-31"
"8-K","Current report","2016-01-28","2016-01-28"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2016-01-14",""
"4","Statement of changes in beneficial ownership of securities","2015-12-04","2015-12-03"
"4","Statement of changes in beneficial ownership of securities","2015-11-17","2015-11-15"
"4","Statement of changes in beneficial ownership of securities","2015-11-17","2015-11-15"
"4","Statement of changes in beneficial ownership of securities","2015-11-17","2015-11-15"
"4","Statement of changes in beneficial ownership of securities","2015-11-17","2015-11-15"
"4","Statement of changes in beneficial ownership of securities","2015-11-17","2015-11-15"
"4","Statement of changes in beneficial ownership of securities","2015-11-17","2015-11-15"
"4","Statement of changes in beneficial ownership of securities","2015-11-17","2015-11-15"
"4","Statement of changes in beneficial ownership of securities","2015-11-17","2015-11-15"
"4","Statement of changes in beneficial ownership of securities","2015-11-17","2015-11-15"
"4","Statement of changes in beneficial ownership of securities","2015-11-17","2015-11-15"
"4","Statement of changes in beneficial ownership of securities","2015-11-17","2015-11-15"
"4","Statement of changes in beneficial ownership of securities","2015-11-17","2015-11-15"
"4","Statement of changes in beneficial ownership of securities","2015-11-12","2015-11-10"
"4","Statement of changes in beneficial ownership of securities","2015-11-10","2015-11-09"
"4","Statement of changes in beneficial ownership of securities","2015-11-04","2015-11-02"
"4","Statement of changes in beneficial ownership of securities","2015-11-04","2015-11-02"
"4","Statement of changes in beneficial ownership of securities","2015-11-04","2015-11-02"
"4","Statement of changes in beneficial ownership of securities","2015-11-04","2015-11-02"
"4","Statement of changes in beneficial ownership of securities","2015-11-04","2015-11-02"
"S-8","Securities to be offered to employees in employee benefit plans","2015-10-23",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2015-10-23","2015-09-30"
"8-K","Current report","2015-10-22","2015-10-22"
"4","Statement of changes in beneficial ownership of securities","2015-09-03","2015-09-02"
"4","Statement of changes in beneficial ownership of securities","2015-09-01","2015-08-28"
"4","Statement of changes in beneficial ownership of securities","2015-08-18","2015-08-15"
"4","Statement of changes in beneficial ownership of securities","2015-08-18","2015-08-15"
"4","Statement of changes in beneficial ownership of securities","2015-08-18","2015-08-15"
"4","Statement of changes in beneficial ownership of securities","2015-08-18","2015-08-15"
"4","Statement of changes in beneficial ownership of securities","2015-08-18","2015-08-17"
"4","Statement of changes in beneficial ownership of securities","2015-08-18","2015-08-15"
"4","Statement of changes in beneficial ownership of securities","2015-08-18","2015-08-15"
"4","Statement of changes in beneficial ownership of securities","2015-08-18","2015-08-15"
"4","Statement of changes in beneficial ownership of securities","2015-08-18","2015-08-15"
"4","Statement of changes in beneficial ownership of securities","2015-08-11","2015-08-10"
"4","Statement of changes in beneficial ownership of securities","2015-08-07","2015-08-05"
"4","Statement of changes in beneficial ownership of securities","2015-08-05","2015-08-03"
"4","Statement of changes in beneficial ownership of securities","2015-08-05","2015-08-03"
"4","Statement of changes in beneficial ownership of securities","2015-08-05","2015-08-03"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2015-07-24","2015-06-30"
"8-K","Current report","2015-07-23","2015-07-23"
"4","Statement of changes in beneficial ownership of securities","2015-07-01","2015-06-30"
"8-K","Current report","2015-06-12","2015-06-10"
"8-K/A","Current report - amendment","2015-06-12","2014-09-03"
"4","Statement of changes in beneficial ownership of securities","2015-06-12","2015-06-10"
"3","Initial statement of beneficial ownership of securities","2015-06-11","2015-06-01"
"4","Statement of changes in beneficial ownership of securities","2015-06-05","2015-06-03"
"SD","Form - SD","2015-06-01",""
"4","Statement of changes in beneficial ownership of securities","2015-05-21","2015-05-20"
"4","Statement of changes in beneficial ownership of securities","2015-05-19","2015-05-15"
"4","Statement of changes in beneficial ownership of securities","2015-05-19","2015-05-15"
"4","Statement of changes in beneficial ownership of securities","2015-05-19","2015-05-15"
"4","Statement of changes in beneficial ownership of securities","2015-05-19","2015-05-15"
"4","Statement of changes in beneficial ownership of securities","2015-05-19","2015-05-15"
"4","Statement of changes in beneficial ownership of securities","2015-05-19","2015-05-15"
"4","Statement of changes in beneficial ownership of securities","2015-05-19","2015-05-15"
"4","Statement of changes in beneficial ownership of securities","2015-05-15","2015-05-13"
"4","Statement of changes in beneficial ownership of securities","2015-05-04","2015-05-01"
"4","Statement of changes in beneficial ownership of securities","2015-05-04","2015-05-01"
"4","Statement of changes in beneficial ownership of securities","2015-05-04","2015-05-01"
"4","Statement of changes in beneficial ownership of securities","2015-05-04","2015-05-01"
"ARS","Annual Report to Security Holders","2015-04-24","2014-04-24"
"8-K","Current report","2015-04-24","2015-04-24"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2015-04-24",""
"DEF 14A","Other definitive proxy statements","2015-04-24","2015-06-10"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2015-04-24","2015-03-31"
"8-K","Current report","2015-04-23","2015-04-23"
"NO ACT","No Action Letter","2015-03-27","2015-02-03"
"NO ACT","No Action Letter","2015-03-25","2015-01-28"
"4","Statement of changes in beneficial ownership of securities","2015-02-19","2015-02-17"
"4","Statement of changes in beneficial ownership of securities","2015-02-18","2015-02-15"
"4","Statement of changes in beneficial ownership of securities","2015-02-18","2015-02-15"
"4","Statement of changes in beneficial ownership of securities","2015-02-18","2015-02-15"
"4","Statement of changes in beneficial ownership of securities","2015-02-18","2015-02-15"
"4","Statement of changes in beneficial ownership of securities","2015-02-18","2015-02-15"
"4","Statement of changes in beneficial ownership of securities","2015-02-18","2015-02-15"
"4","Statement of changes in beneficial ownership of securities","2015-02-18","2015-02-15"
"4","Statement of changes in beneficial ownership of securities","2015-02-18","2015-02-15"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2015-02-13",""
"4","Statement of changes in beneficial ownership of securities","2015-02-10","2015-02-10"
"4","Statement of changes in beneficial ownership of securities","2015-02-10","2015-02-09"
"4","Statement of changes in beneficial ownership of securities","2015-02-10","2015-02-10"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2015-01-30","2014-12-31"
"8-K","Current report","2015-01-29","2015-01-29"
"SC 13G/A","Statement of acquisition of beneficial ownership by individuals - amendment","2015-01-23",""
"4","Statement of changes in beneficial ownership of securities","2014-12-30","2014-12-29"
"8-K","Current report","2014-12-05","2014-12-02"
"424B2","Prospectus [Rule 424(b)(2)]","2014-12-03",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2014-12-03",""
"4","Statement of changes in beneficial ownership of securities","2014-12-01","2014-11-26"
"424B5","Prospectus [Rule 424(b)(5)]","2014-12-01",""
"4","Statement of changes in beneficial ownership of securities","2014-11-18","2014-11-15"
"4","Statement of changes in beneficial ownership of securities","2014-11-18","2014-11-15"
"4","Statement of changes in beneficial ownership of securities","2014-11-18","2014-11-15"
"4","Statement of changes in beneficial ownership of securities","2014-11-18","2014-11-15"
"4","Statement of changes in beneficial ownership of securities","2014-11-18","2014-11-15"
